Year,Month,Day,Hour,Minute,Temperature
2019,01,07,06,00,-8.67
2019,01,07,07,00,-9.52
2019,01,07,08,00,-10.19
2019,01,07,09,00,-9.96
2019,01,07,10,00,-9.26
2019,01,07,11,00,-8.43
2019,01,07,12,00,-7.77
2019,01,07,13,00,-7.14
2019,01,07,14,00,-6.97
2019,01,07,15,00,-7.08
2019,01,07,16,00,-7.49
2019,01,07,17,00,-7.76
2019,01,07,18,00,-7.97
2019,01,07,19,00,-8.45
2019,01,07,20,00,-8.98
2019,01,07,21,00,-9.06
2019,01,07,22,00,-8.98
2019,01,07,23,00,-9.01
